,Location,GEOID20,"Mortality Rate, 1980*","Mortality Rate, 1980* (Min)","Mortality Rate, 1980* (Max)","Mortality Rate, 1985*","Mortality Rate, 1985* (Min)","Mortality Rate, 1985* (Max)","Mortality Rate, 1990*","Mortality Rate, 1990* (Min)","Mortality Rate, 1990* (Max)","Mortality Rate, 1995*","Mortality Rate, 1995* (Min)","Mortality Rate, 1995* (Max)","Mortality Rate, 2000*","Mortality Rate, 2000* (Min)","Mortality Rate, 2000* (Max)","Mortality Rate, 2005*","Mortality Rate, 2005* (Min)","Mortality Rate, 2005* (Max)","Mortality Rate, 2010*","Mortality Rate, 2010* (Min)","Mortality Rate, 2010* (Max)","Mortality Rate, 2014*","Mortality Rate, 2014* (Min)","Mortality Rate, 2014* (Max)","% Change in Mortality Rate, 1980-2014","% Change in Mortality Rate, 1980-2014 (Min)","% Change in Mortality Rate, 1980-2014 (Max)",improved
1932,Bertie County,37015.0,16.31,14.25,18.63,12.59,11.09,14.22,11.07,9.74,12.54,8.66,7.7,9.82,8.75,7.67,9.99,8.44,7.42,9.59,7.22,6.26,8.28,6.4,5.49,7.33,-60.76,-66.18,-56.21,True
1985,Mitchell County,37121.0,7.69,6.48,9.19,5.68,4.78,6.8,4.86,4.13,5.76,3.82,3.24,4.48,3.82,3.23,4.46,3.98,3.3,4.7,3.41,2.79,4.04,3.07,2.48,3.68,-60.12,-67.99,-53.74,True
1976,Jones County,37103.0,12.4,10.35,14.56,9.33,7.81,10.95,8.2,6.87,9.57,6.46,5.43,7.45,6.48,5.41,7.56,6.36,5.34,7.41,5.52,4.58,6.45,4.96,4.05,5.85,-60.02,-66.43,-54.09,True
2018,Washington County,37187.0,13.88,11.87,16.32,10.66,9.18,12.35,9.51,8.11,11.02,7.43,6.44,8.56,7.43,6.32,8.57,7.45,6.35,8.57,6.37,5.36,7.47,5.56,4.67,6.48,-59.9,-65.57,-54.88,True
1967,Harnett County,37085.0,11.29,10.08,12.62,8.54,7.72,9.53,7.38,6.67,8.2,5.99,5.42,6.61,5.97,5.4,6.57,5.79,5.2,6.36,5.0,4.49,5.51,4.53,4.03,5.0,-59.85,-65.54,-55.57,True
1946,Clay County,37043.0,8.13,6.61,10.01,6.16,5.1,7.41,5.51,4.49,6.75,4.23,3.47,5.17,4.16,3.41,5.04,4.13,3.35,4.93,3.55,2.88,4.32,3.28,2.62,4.03,-59.7,-67.36,-52.96,True
1981,Madison County,37115.0,8.74,7.34,10.29,6.62,5.61,7.84,5.66,4.8,6.59,4.39,3.72,5.18,4.42,3.77,5.17,4.5,3.83,5.34,3.93,3.25,4.69,3.53,2.91,4.21,-59.68,-66.74,-54.16,True
2006,Sampson County,37163.0,12.39,11.01,13.9,9.64,8.59,10.8,8.53,7.65,9.49,6.71,6.03,7.42,6.68,5.98,7.45,6.46,5.78,7.16,5.64,4.96,6.3,5.0,4.38,5.56,-59.65,-64.88,-55.52,True
2009,Stokes County,37169.0,8.59,7.5,9.92,6.47,5.67,7.46,5.57,4.88,6.36,4.5,3.92,5.12,4.48,3.91,5.06,4.53,3.88,5.16,3.91,3.34,4.49,3.48,2.96,4.0,-59.51,-66.02,-54.65,True
2024,Yancey County,37199.0,6.75,5.71,7.94,5.03,4.27,5.91,4.39,3.71,5.19,3.43,2.88,4.1,3.46,2.92,4.12,3.54,2.98,4.24,3.04,2.51,3.6,2.74,2.23,3.31,-59.45,-66.63,-53.1,True
1949,Craven County,37049.0,9.84,8.79,11.07,7.42,6.7,8.3,6.49,5.9,7.2,5.1,4.63,5.64,5.24,4.72,5.75,5.26,4.74,5.78,4.48,3.97,4.94,3.99,3.55,4.42,-59.44,-65.87,-54.71,True
1996,Perquimans County,37143.0,13.35,11.37,15.68,10.2,8.75,11.86,9.1,7.72,10.66,7.1,6.06,8.38,6.94,5.95,8.14,6.93,5.91,8.14,5.96,5.04,7.02,5.44,4.56,6.46,-59.24,-65.06,-53.79,True
2013,Tyrrell County,37177.0,12.44,10.29,14.82,9.58,7.98,11.39,8.53,7.07,10.26,6.62,5.53,7.91,6.51,5.44,7.82,6.66,5.52,8.05,5.68,4.69,6.88,5.1,4.13,6.18,-58.97,-65.38,-52.82,True
1954,Davie County,37059.0,8.28,7.16,9.7,6.25,5.41,7.24,5.38,4.62,6.15,4.25,3.72,4.84,4.38,3.78,5.05,4.31,3.76,4.97,3.86,3.31,4.43,3.42,2.92,3.98,-58.73,-65.44,-53.56,True
1951,Currituck County,37053.0,12.29,10.4,14.57,9.26,7.93,10.81,8.14,6.93,9.41,6.3,5.36,7.25,6.28,5.37,7.29,6.32,5.35,7.29,5.53,4.67,6.45,5.11,4.3,5.94,-58.48,-64.53,-52.8,True
1986,Montgomery County,37123.0,12.37,10.7,14.29,9.57,8.31,11.06,8.43,7.35,9.64,6.5,5.67,7.51,6.54,5.74,7.53,6.64,5.81,7.64,5.81,5.01,6.68,5.17,4.45,5.93,-58.22,-64.11,-53.27,True
1926,Alexander County,37003.0,8.01,6.81,9.34,6.0,5.15,6.98,5.24,4.48,6.05,4.21,3.6,4.86,4.22,3.55,4.87,4.26,3.65,4.89,3.69,3.11,4.28,3.35,2.8,3.9,-58.19,-65.78,-52.66,True
1971,Hoke County,37093.0,10.96,9.54,12.51,8.49,7.47,9.68,7.55,6.7,8.61,5.92,5.21,6.67,5.91,5.23,6.65,5.97,5.22,6.74,4.95,4.28,5.62,4.6,3.97,5.21,-57.99,-64.78,-52.86,True
1965,Guilford County,37081.0,12.5,11.62,13.68,10.24,9.6,11.01,8.63,8.1,9.23,6.93,6.53,7.38,6.73,6.31,7.15,6.92,6.48,7.35,5.81,5.36,6.17,5.28,4.86,5.63,-57.73,-63.07,-54.34,True
1994,Pasquotank County,37139.0,12.44,10.95,14.22,9.39,8.29,10.74,8.36,7.37,9.49,6.8,5.99,7.75,6.77,5.93,7.69,6.91,6.06,7.87,5.89,5.08,6.75,5.28,4.54,6.07,-57.5,-62.87,-52.92,True
1973,Iredell County,37097.0,9.66,8.73,10.85,7.1,6.43,7.93,6.42,5.82,7.13,5.27,4.79,5.83,5.13,4.66,5.66,5.16,4.64,5.67,4.42,3.97,4.88,4.11,3.65,4.54,-57.45,-63.77,-53.3,True
1958,Forsyth County,37067.0,13.64,12.59,14.86,10.41,9.68,11.26,9.34,8.68,10.09,7.61,7.1,8.15,7.62,7.13,8.14,7.46,6.94,7.98,6.42,5.91,6.87,5.81,5.32,6.24,-57.42,-62.65,-54.02,True
1952,Dare County,37055.0,7.32,6.22,8.63,5.5,4.65,6.45,4.76,4.09,5.56,3.79,3.27,4.41,3.9,3.36,4.53,3.97,3.39,4.57,3.49,2.99,4.06,3.12,2.66,3.66,-57.36,-64.91,-51.06,True
1966,Halifax County,37083.0,17.5,15.65,19.54,13.56,12.27,15.11,12.08,10.91,13.41,9.69,8.8,10.64,9.51,8.58,10.45,9.65,8.74,10.66,8.26,7.39,9.17,7.52,6.68,8.35,-57.02,-62.77,-52.75,True
1997,Person County,37145.0,11.05,9.59,12.6,8.39,7.36,9.58,7.47,6.54,8.48,5.86,5.18,6.64,5.92,5.23,6.75,6.02,5.28,6.83,5.2,4.53,5.91,4.78,4.15,5.44,-56.77,-63.48,-51.3,True
1957,Edgecombe County,37065.0,13.67,12.17,15.42,10.88,9.83,12.08,9.61,8.63,10.7,7.61,6.82,8.46,7.65,6.94,8.49,7.67,6.94,8.54,6.56,5.86,7.3,5.91,5.25,6.61,-56.75,-63.17,-52.21,True
2015,Vance County,37181.0,15.96,14.21,17.97,12.18,10.88,13.66,10.84,9.64,12.13,8.64,7.74,9.73,8.71,7.77,9.69,9.04,8.09,10.14,7.53,6.69,8.47,6.9,6.19,7.78,-56.73,-62.24,-52.08,True
1929,Ashe County,37009.0,9.49,8.09,11.09,7.18,6.09,8.35,6.42,5.47,7.52,5.03,4.29,5.9,5.03,4.33,5.93,5.3,4.54,6.2,4.55,3.84,5.39,4.11,3.41,4.89,-56.73,-63.68,-50.87,True
1970,Hertford County,37091.0,18.58,16.28,21.36,14.53,12.61,16.67,13.25,11.59,15.21,10.56,9.24,12.1,10.7,9.35,12.19,10.49,9.2,11.95,8.74,7.57,10.08,8.04,6.99,9.29,-56.72,-61.81,-52.02,True
1928,Anson County,37007.0,15.05,13.17,17.17,11.48,10.1,12.94,10.2,9.02,11.56,8.22,7.3,9.27,8.27,7.26,9.34,8.31,7.29,9.37,7.34,6.43,8.35,6.55,5.73,7.42,-56.5,-62.07,-51.43,True
1982,Martin County,37117.0,13.99,12.07,16.09,10.66,9.31,12.18,9.64,8.43,10.96,7.73,6.78,8.8,7.93,6.94,9.0,8.03,6.96,9.14,6.76,5.84,7.75,6.09,5.21,6.98,-56.45,-62.48,-51.51,True
2007,Scotland County,37165.0,15.19,13.29,17.25,11.55,10.27,13.01,10.04,8.9,11.21,8.33,7.37,9.31,8.46,7.53,9.5,8.33,7.38,9.33,7.18,6.32,8.01,6.63,5.84,7.43,-56.36,-62.55,-51.28,True
1983,McDowell County,37111.0,7.1,6.2,8.25,5.39,4.69,6.22,4.7,4.13,5.44,3.66,3.21,4.19,3.79,3.3,4.34,3.96,3.42,4.5,3.34,2.87,3.83,3.1,2.62,3.59,-56.34,-63.9,-50.74,True
1933,Bladen County,37017.0,12.97,11.36,14.74,9.95,8.73,11.3,8.97,7.85,10.05,7.34,6.44,8.25,7.19,6.32,8.06,7.53,6.59,8.45,6.22,5.46,6.99,5.73,5.01,6.47,-55.82,-62.27,-50.9,True
2011,Swain County,37173.0,11.02,9.25,13.25,8.62,7.29,10.15,7.82,6.57,9.21,6.21,5.21,7.24,5.98,5.04,6.96,6.3,5.33,7.42,5.37,4.5,6.34,4.88,4.03,5.7,-55.75,-64.03,-49.23,True
1925,Alamance County,37001.0,11.42,10.18,12.73,8.69,7.87,9.64,7.78,7.06,8.59,6.13,5.54,6.68,6.38,5.76,6.98,6.24,5.61,6.87,5.45,4.9,5.96,5.07,4.56,5.57,-55.6,-61.58,-51.53,True
1941,Caswell County,37033.0,11.63,9.96,13.62,8.87,7.66,10.29,7.96,6.85,9.16,6.32,5.48,7.21,6.22,5.4,7.1,6.34,5.41,7.27,5.61,4.77,6.41,5.18,4.42,5.98,-55.48,-62.35,-50.03,True
1978,Lenoir County,37107.0,13.4,11.96,15.01,10.42,9.28,11.71,9.2,8.25,10.3,7.41,6.59,8.24,7.5,6.71,8.35,7.68,6.85,8.53,6.68,5.95,7.41,5.99,5.33,6.65,-55.26,-61.77,-50.69,True
1930,Avery County,37011.0,7.07,5.92,8.36,5.4,4.53,6.36,4.75,3.99,5.56,3.8,3.21,4.45,3.9,3.31,4.63,4.03,3.37,4.74,3.54,2.96,4.2,3.19,2.66,3.78,-54.91,-63.08,-48.96,True
1950,Cumberland County,37051.0,13.89,12.94,15.14,10.37,9.68,11.25,9.29,8.69,10.05,7.63,7.15,8.14,7.98,7.46,8.48,8.04,7.51,8.54,6.91,6.4,7.39,6.28,5.81,6.69,-54.77,-60.07,-51.3,True
1962,Graham County,37075.0,7.65,6.34,9.23,5.89,4.89,7.09,5.16,4.33,6.16,4.18,3.51,5.06,4.27,3.57,5.14,4.39,3.66,5.3,3.81,3.14,4.63,3.46,2.81,4.24,-54.73,-63.17,-47.55,True
1979,Lincoln County,37109.0,8.22,7.24,9.35,6.32,5.63,7.11,5.46,4.86,6.12,4.45,3.95,5.01,4.7,4.18,5.27,4.63,4.08,5.2,4.14,3.62,4.7,3.72,3.26,4.21,-54.71,-61.78,-49.43,True
2010,Surry County,37171.0,8.46,7.43,9.75,6.51,5.79,7.36,5.63,5.01,6.35,4.45,3.98,5.01,4.6,4.09,5.14,4.75,4.25,5.33,4.26,3.75,4.84,3.86,3.34,4.37,-54.37,-61.97,-48.66,True
2021,Wilkes County,37193.0,8.35,7.34,9.66,6.29,5.6,7.14,5.74,5.08,6.47,4.36,3.89,4.91,4.51,3.99,5.04,4.7,4.15,5.28,4.07,3.55,4.56,3.82,3.34,4.32,-54.29,-62.1,-49.22,True
2005,Rutherford County,37161.0,10.36,9.1,11.71,7.9,6.98,8.89,7.08,6.3,7.96,5.89,5.24,6.59,5.7,5.06,6.35,5.79,5.08,6.49,5.08,4.44,5.71,4.75,4.1,5.32,-54.19,-61.09,-49.01,True
2023,Yadkin County,37197.0,7.93,6.89,9.13,6.17,5.38,7.08,5.47,4.76,6.25,4.31,3.77,4.92,4.42,3.86,5.06,4.59,4.0,5.24,4.01,3.49,4.62,3.69,3.16,4.26,-53.52,-61.18,-47.77,True
1942,Catawba County,37035.0,8.5,7.6,9.57,6.77,6.12,7.51,5.95,5.39,6.61,4.8,4.34,5.27,4.81,4.37,5.28,4.8,4.32,5.28,4.35,3.87,4.77,3.96,3.55,4.38,-53.39,-60.66,-48.2,True
2001,Richmond County,37153.0,11.84,10.27,13.51,9.2,8.16,10.5,8.3,7.36,9.44,6.93,6.14,7.74,6.72,5.99,7.51,6.97,6.18,7.83,6.25,5.44,7.04,5.53,4.83,6.23,-53.33,-60.4,-48.18,True
1944,Cherokee County,37039.0,7.91,6.77,9.37,6.11,5.21,7.19,5.45,4.65,6.35,4.42,3.79,5.19,4.5,3.81,5.28,4.54,3.85,5.27,3.97,3.36,4.65,3.7,3.1,4.34,-53.28,-61.32,-47.18,True
1936,Burke County,37023.0,8.63,7.66,9.73,6.45,5.76,7.3,5.65,5.04,6.32,4.64,4.16,5.19,4.91,4.37,5.49,5.0,4.46,5.58,4.51,3.96,5.04,4.1,3.58,4.62,-52.52,-60.29,-46.81,True
1948,Columbus County,37047.0,13.24,11.83,14.77,10.16,9.12,11.3,9.35,8.37,10.46,7.55,6.8,8.42,7.64,6.87,8.5,8.05,7.21,8.94,7.13,6.35,7.96,6.36,5.63,7.08,-51.98,-59.37,-46.79,True
2002,Robeson County,37155.0,13.82,12.64,15.31,10.64,9.78,11.67,9.66,8.83,10.49,7.86,7.25,8.57,8.04,7.39,8.71,8.16,7.47,8.83,7.23,6.6,7.85,6.65,6.01,7.2,-51.92,-58.92,-47.45,True
2003,Rockingham County,37157.0,10.02,9.04,11.24,7.59,6.83,8.44,6.75,6.1,7.48,5.61,5.08,6.19,5.6,5.05,6.14,5.96,5.38,6.55,5.15,4.59,5.68,4.85,4.3,5.36,-51.62,-58.81,-46.96,True
2008,Stanly County,37167.0,8.57,7.45,9.8,6.49,5.72,7.35,5.79,5.09,6.57,4.78,4.2,5.4,4.94,4.33,5.6,5.02,4.4,5.65,4.56,3.98,5.13,4.16,3.61,4.71,-51.49,-58.58,-45.84,True
1938,Caldwell County,37027.0,8.85,7.79,10.11,6.73,6.0,7.66,5.96,5.32,6.69,4.88,4.32,5.45,5.0,4.46,5.59,5.19,4.61,5.78,4.84,4.2,5.41,4.37,3.81,4.93,-50.68,-58.95,-44.72,True
1953,Davidson County,37057.0,8.22,7.44,9.23,6.56,5.97,7.32,5.7,5.16,6.27,4.51,4.09,4.96,5.05,4.58,5.53,5.09,4.6,5.57,4.5,4.0,4.93,4.15,3.67,4.54,-49.57,-57.41,-44.43,True
2004,Rowan County,37159.0,8.44,7.62,9.48,6.48,5.87,7.22,5.74,5.2,6.35,4.79,4.34,5.26,4.92,4.44,5.38,5.06,4.57,5.58,4.72,4.22,5.2,4.35,3.87,4.82,-48.41,-56.31,-43.19,True
1960,Gaston County,37071.0,10.45,9.51,11.56,8.03,7.4,8.77,7.2,6.59,7.86,6.19,5.69,6.73,6.44,5.89,6.97,6.49,5.94,7.05,5.94,5.35,6.47,5.46,4.9,5.92,-47.78,-54.79,-42.93,True
1947,Cleveland County,37045.0,11.23,10.16,12.55,8.65,7.82,9.58,7.85,7.08,8.69,6.56,5.91,7.24,6.64,5.94,7.33,6.86,6.13,7.59,6.31,5.63,6.98,5.88,5.19,6.52,-47.65,-54.73,-42.41,True
2000,Randolph County,37151.0,6.84,6.11,7.79,5.31,4.76,5.98,4.85,4.38,5.39,3.86,3.48,4.25,4.08,3.69,4.52,4.42,3.98,4.88,3.93,3.51,4.35,3.59,3.17,3.99,-47.6,-56.25,-41.66,True
